"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","398268156.424581","473296089.385475","579608938.547486","684245810.055866","757039106.145251","864301675.977654","948994413.407821","1065363128.49162","1225810055.86592","1305474860.3352","1362067039.10615","1508659217.87709","1659776536.31285","1680223463.68715","1849162011.17318","1839385474.86034","1826312849.16201","1990837988.82682","2180446927.3743","1880837988.82682","2363966480.44693","2293016759.77654","2726368715.0838","2464860335.19553","2313407821.22905","2391955307.26257","2498994413.40782","2563575418.99441","2688324022.34637","2838379888.26816","2848547486.03352","2921620111.73184","2987486033.51955","3156759776.53631","2428547486.03352","",
"Africa Eastern and Southern","AFE","GNI (current US$)","NY.GNP.MKTP.CD","17488024354.8141","18313545558.7476","19467417537.0019","21131781823.8653","22960208681.4263","25259698857.3448","27311575154.8721","30055954349.9466","32456441004.682","36513530355.6228","39847735823.645","43758230499.6744","47135156101.0954","61377003162.2478","76017376450.8398","80716850731.3794","80816278868.2592","90196672220.0529","98538499966.1791","118343209372.689","155406403781.676","162063448308.154","153570993001.085","164392417021.256","151628427627.733","125465345620.104","140845390997.411","174057334366.293","189695587299.452","204532395361.179","236671567458.32","255701588174.817","222503396104.431","221017540315.23","229320817196.863","260178932633.115","258663871902.072","272960564033.623","257031808463.438","252486141722.089","273367858020.528","248243885849.295","254288968887.869","339703653083.576","423480720370.701","492964764669.994","552309617939.942","629683325259.127","669306829177.766","690153582150.822","821411751556.629","922058692348.95","937386898179.071","945950247569.462","968580754882.128","895618517124.489","862720019588.552","992097451424.083","963616536128.929","971882710360.22","903370085540.416","1057493148150",
"Afghanistan","AFG","GNI (current US$)","NY.GNP.MKTP.CD","548888848.888889","560000022.222222","557777806.666667","766666706.666667","815555562.222222","1026666677.77778","1428888871.11111","1708888882.22222","1402222182.22222","1437777737.77778","1784444426.66667","1868886653.33333","1631108937.77778","1771108944.44444","2202222228.88889","2417777777.77778","2611111162.22222","3017777697.77778","3371111037.77778","3775743789.47368","3716553247.16553","3551514995.9596","","","","","","","","","","","","","","","","","","","","","","","","","","","","12380756376.6345","15884609986.5283","17785698870.9887","19938663918.9461","20216694880.4724","20494754799.9192","19307190568.0691","18297097175.3722","19000254382.5096","18240838101.739","19098305631.2786","20304823185.2705","",
"Africa Western and Central","AFW","GNI (current US$)","NY.GNP.MKTP.CD","10172829166.9437","10894064401.9494","11765240740.5961","12553333439.21","13679887109.0003","14637803511.2231","15662708248.5866","14067504612.1295","14379204475.5568","16344983087.6215","22713419430.5648","19812710232.0986","23957581937.0531","29588732498.8048","42652772863.7366","49907185734.6806","60300909529.9101","63524069317.8786","69762619217.8786","86672628932.1024","106188261694.948","207147314537.183","184062931114.291","135270119597.727","111796205664.701","113574738332.927","104318013336.899","105878622124.49","106015925719.008","96712782935.4312","114943692940.365","111154040686.865","111522857170.029","92596051764.7595","81242644284.3722","102164589741.81","113688089972.159","115259014470.366","117664771908.81","126640186844.707","124244903556.512","133319127790.758","159937953878.34","183806514912.632","227982132846.986","280714221392.376","373649588152.298","432655809617.031","529430046322.31","473509962373.157","549627332596.289","621778104383.332","680880652072.645","768874496677.38","832469866956.551","738688080222.752","671664876596.4","659374881952.362","708742999675.232","764595426944.515","755931235858.935","802237710081.3",
"Angola","AGO","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","6684491978.60963","6684491978.60963","6684491978.60963","6684491978.60963","10026737967.9144","10026737967.9144","10603784541.197","3498025673.08989","3237547175.39543","1943279029.73498","4771491965.00864","5829677653.68921","6730621459.63535","5537462252.37138","4780892936.47718","7448734815.41876","7375076435.20009","13650938445.0336","16086223836.3248","21068458073.4821","32940067469.7192","46203157420.6682","57667405227.2244","74821118401.9383","63484003235.9237","73815338046.2878","99943375211.1939","114824994789.361","123741149153.421","128908776883.901","82784865341.5703","47241259484.1328","64733546540.6264","71783438878.9885","63042946079.4447","49106327000.2","66833691182.161",
"Albania","ALB","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","1860538011.88334","1898450133.4326","2097426250","2081196250","2051436250","2252990000","2026653750","1077859027.77778","617074990.170926","1219215468.95285","1894751525.25858","2436364853.42107","3271323621.58836","2308847102.93115","2622487165.91691","3287389862.41854","3585007221.82101","4048094111.09564","4457186384.03827","5762066193.23098","7353974652.91914","8214104793.91771","9158292067.34935","10975296230.4775","12946374021.6891","11852739420.9823","11807765688.1544","12894104016.2227","12228065466.1217","12996539294.3261","13349419700.4171","11521808375.0854","12053832974.203","13051480688.4971","15137993151.167","15200249154.3075","14881636667.2803","18010445095.6337",
"Andorra","AND","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3462355542.77557","","",
"Arab World","ARB","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","47472523992.6726","53984686014.9835","64178693580.8792","80936347729.2812","158459399199.61","180661765682.808","227429861096.009","257987129376.675","283585373340.315","377356165120.722","512113942056.728","517085973986.518","486793564147.528","463413070075.551","471123606446.962","464733785562.56","455576923647.808","485340986764.569","487582616775.208","519490846942.851","731548375845.936","481298847890.649","476622744852.41","485449503627.343","502513763170.759","559135168145.294","606566994839.672","655377028454.233","637332027806.747","700062780089.533","796754137486.613","784084382746.045","792434870838.965","873519423978.716","1044474342443.15","1279160711936.16","1534449346799.24","1797216564610.78","2253750467811.74","1965923639296","2286892816107.32","2520296384370.32","2759035878456.87","2820960862215.69","2870695075044.65","2525095598730.59","2508701462872.57","2595167378171.29","2785175897544.14","2802899981111.49","2510541284145","",
"United Arab Emirates","ARE","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109429271613.342","108376310415.248","110737372362.151","124291899251.191","148532334921.715","183503785187.202","226854458815.521","266289176310.415","319278564002.723","256161470388.019","289703586085.609","350801388548.741","374890181168.615","390570428414.984","403796159202.772","359877626517.168","359141820416.109","388382906446.44","423639141610.837","419284994503.153","358405865242.998","",
"Argentina","ARG","GNI (current US$)","NY.GNP.MKTP.CD","","","25083407626.8209","18744951947.7684","26267861213.2167","29078234021.4454","29796191127.5341","24344243038.8474","26044571826.7556","31036571602.8723","30396317996.8156","33634600190.9099","34199500220.4044","52722220653.6761","72679890116.6394","53148109438.0607","51185002822.6102","56339203222.3998","57716474115.7083","68626165139.2133","76286574003.3819","76842107526.2031","79243829293.0471","98072174234.6778","74996801894.5786","83672502113.7452","105922220616.456","105942857983.875","120715908148.068","70219462542.1818","135150027050.147","183857364656.529","224530580052.493","233743662862.863","253743263100","253362890700","266647700700","286641204400","291542201400","276059280100","276655968900","260969968100","92763789032.7018","122451951871.839","146361588317.154","176153368006.277","224897476611.227","279994211725.862","352615480862.974","322744327792.305","409192468872.686","515009551032.822","533073608485.977","540185748561.537","515532241212.846","583615452086.538","545250717485.872","627200729011.574","506093900950.347","435009016337.161","379418819221.086","481547712170.77",
