"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","2229821.2","507562.6","486891270.1","177070329.7","9944134.0782","6871508.3799","1508379.8883","1675977.6536","893854.748603352","223463.687150838","31284916.2011173","-1787709.4972067","2625698.32402235","-3687150.83798883","-6145251.39664804","-3240223.46368715","-8156424.58100559","-8863534.76949511","-12822664.7351483","39553072.6256983","2793296.08938548","1508379.88826816","2737430.16759777","3128491.62011173","2793296.08938548","4419814.52513967","8864325.69832402","10514787.7094972","-418749.109909617","83180629.4859749","30370487.7007396","59757863.331002","5161446.61221339","",
"Africa Eastern and Southern","AFE","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","16799993.28","29361718.1918","19513337.3661","51876263.5833","114794172.5768","127121093.962723","38190419.2708439","72252324.7004651","242891893.28452","17171753.7283625","771195149.079996","656295545.443487","8773418.26130297","179456292.526871","208807607.881919","66782875.7159243","86197007.8342043","195226684.326563","55007433.8129221","182641790.858502","66246059.7562324","269954783.143582","2031350570.48157","389566922.121228","1350476754.60232","2602047974.96106","1093420493.26833","2389953101.95363","1548149216.82214","1594224899.37984","296657311.480583","-3137412349.00503","-236578842.987933","810495025.402252","2054946098.97667","1305961360.11815","6591224545.06737","4117750314.48044","642709691.476628","1878726415.27029","2832141099.171","2442622529.09596","4257685044.18424","9241226138.57862","8455765888.55475","5743046374.29174","5629871123.21535","9337091606.53073","4554814307.79259","1822370359.9397","-1707424957.68563","",
"Afghanistan","AFG","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","1000000","-700000","1500000","","","-1918036.13352597","247111.034433406","-1248047.48845387","1137137.38873923","-8860851.34389303","537318.99040943","-19153.710717345","2163053.08831476","14006046.5507614","11260735.7647647","38803701.6430421","26321046.5766518","37228478.0954418","",
"Africa Western and Central","AFW","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","4000000","8932070.71134358","10740658.9709686","52079659.4207633","32104791.9166233","8851589.88160917","23815777.5091633","238225140.349356","73624474.2492248","168769374.526279","77488864.1153311","81050984.5689789","278932020.490633","-232528188.915156","83329532.1851278","259984789.320012","863445973.09099","382627653.544071","669491711.09751","394740431.31992","480485861.868315","215064880.903035","280123755.152342","743556755.075399","814081947.677047","-914922897.468191","424115497.145177","1003646631.53459","-369152511.290109","-18260066.0106577","154834856.797164","561016584.136209","942354497.536596","822034270.314627","1022107886.06123","855751293.567735","1279797236.93133","3571482579.8939","2383345041.16602","4390719861.4533","3189166950.35545","3917234041.60789","2855865918.30826","2465409692.86007","1193998090.78327","407487024.497697","1810897635.08339","1227045603.89808","",
"Angola","AGO","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","900000","0","188900.7","2000000","-2000000","-1000000","-12420956.3","3973419.4","0","-88285","0","0","100111000","95900000","783236000","219362057.12","190585085.92","911781455.46","2569643973.88","6753124.58","1340429383.96","2092642447.92077","886475740.615268","921566192.173228","886792456.704808","-784870216.626256","273005000","1352005056.9","5714167.48479243","-2349425835.33608","90514469","",
"Albania","ALB","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13603902.3661545","4061523.92699014","10500000","4910319.91631329","365935742.705463","394652571.591839","46386529.5165946","202090000.435402","83178444.5209968","28449540.9228266","75647491.6332711","79310556.1473249","7038767.39963294","-106176134.436441","-4513335.95696013","39976866.3476733","50098202.0405848","",
"Andorra","AND","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","2000000","1000000","6679998.14593788","8478270.21676872","2415176.84949474","134347140.935463","116154814.214055","174614507.304245","175492298.446253","-114843132.293798","710384187.101273","-90992113.1637694","429673496.783621","249850338.262764","239146996.060964","132351846.94012","360876165.633634","955106883.920502","2218917509.87265","1825719060.41892","-66458023.4948887","78210413.6808723","1382643182.67891","324491677.592912","-188713442.429691","-555552222.689169","2722161131.39557","208468695.433199","-915168842.325427","1193148640.15422","2302109811.46991","-708115934.298237","2969735924.08011","-1749124520.91444","7941853000.94457","11649730154.6113","22811486776.4836","37383612188.7725","44017081564.6119","18932233381.9446","21063816211.3664","31319881579.5594","21536562979.1069","43317570460.5337","40351962570.7938","37324660948.4704","41211133516.4497","35100572180.381","45289335486.0355","46074412581.9439","30593626288.2906","",
"United Arab Emirates","ARE","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","-2000000","3000000","8000000","3000000","10000000","11069596.8","-23325605.3","-11108923.1","69610177.7","3687066.7","-57651390.6","10441825.5","15196200","30759464.1","577000890.5","62466873.5","128613431.1","231131677.8","127300067.2","317106416.9","423667086.2","213701291.1","441116405.7","991150442.4","2208000000","3750300000","10891763104.1","14567733151.8","15820299999.9","2722900000","2015000000","2178000000","2536010989.2","8828337874.6","11735900000","16691599999.9","15711400000","14059946000","15079291999.9","21226158038.1","18937329700.3","",
"Argentina","ARG","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","1816999.9","","1672999.9","","2395999.9","4487000","1541999.9","-1000000","-23000000","-59000000","-110000000","-107000000","-30000000","2000000","43558999.9","42349047.5","11199789.6","48130952.7","-22677108.8","64400565.2","34902986.2","49385693.9","1165914300","705070000","1012844000","1497149000","1600749000","3652818000","2325477000","1730283000","901028199.337856","160876687.495159","-627140000","773780000","675990000","1311060000","2438720720.56097","1504232961.34457","1390934588.87756","711546403.745669","964760680.391808","1488000000","1054849578.05633","889972858.727091","1920541433.10505","875233227.354258","1786530934.74804","1155630218.02453","1725981572.70571","1522728151.79532","1292477181.95334","",
